CountryName,IndicatorName,tonnes_pc
Afghanistan,CH4, 2.09 
Algeria,CH4, 1.13 
Angola,CH4, 1.08 
Argentina,CH4, 2.61 
Australia,CH4, 5.45 
Azerbaijan,CH4, 4.30 
Bangladesh,CH4, 0.51 
Brazil,CH4, 1.96 
Canada,CH4, 2.49 
Chad,CH4, 3.29 
China,CH4, 0.86 
Colombia,CH4, 1.51 
Congo,CH4, 7.00 
Egypt,CH4, 0.56 
Ethiopia,CH4, 0.90 
France,CH4, 0.89 
Germany,CH4, 0.64 
India,CH4, 0.48 
Indonesia,CH4, 1.05 
Iran,CH4, 1.78 
Italy,CH4, 0.72 
Kazakhstan,CH4, 2.20 
Kenya,CH4, 0.75 
Libya,CH4, 5.50 
Malaysia,CH4, 1.44 
Mexico,CH4, 1.12 
Myanmar,CH4, 1.21 
Nigeria,CH4, 0.62 
Pakistan,CH4, 0.68 
Philippines,CH4, 0.62 
Poland,CH4, 1.26 
Russian Federation,CH4, 5.82 
Saudi Arabia,CH4, 1.27 
South Africa,CH4, 0.76 
South Sudan,CH4, 3.05 
Spain,CH4, 0.85 
Sudan,CH4, 1.34 
Tanzania,CH4, 1.05 
Thailand,CH4, 1.21 
Turkey,CH4, 0.56 
Turkmenistan,CH4, 8.22 
Uganda,CH4, 0.73 
Ukraine,CH4, 1.44 
United Arab Emirates,CH4, 5.35 
United Kingdom,CH4, 0.75 
United States,CH4, 1.88 
Uzbekistan,CH4, 3.16 
Venezuela,CH4, 2.54 
Vietnam,CH4, 0.90 
Algeria,CO2, 3.46 
Argentina,CO2, 3.93 
Australia,CO2, 15.16 
Bangladesh,CO2, 0.50 
Belgium,CO2, 8.06 
Brazil,CO2, 2.01 
Canada,CO2, 15.22 
Chile,CO2, 4.53 
China,CO2, 7.17 
Colombia,CO2, 1.56 
Czech,CO2, 9.57 
Egypt,CO2, 2.41 
France,CO2, 4.75 
Germany,CO2, 8.47 
Greece,CO2, 6.26 
India,CO2, 1.76 
Indonesia,CO2, 2.13 
Iran,CO2, 7.49 
Iraq,CO2, 4.68 
Italy,CO2, 5.37 
Japan,CO2, 8.75 
Kazakhstan,CO2, 11.74 
Korea,CO2, 24.47 
Kuwait,CO2, 20.95 
Malaysia,CO2, 7.40 
Mexico,CO2, 3.66 
Morocco,CO2, 1.81 
Netherlands,CO2, 8.82 
Nigeria,CO2, 0.63 
Oman,CO2, 14.37 
Pakistan,CO2, 0.94 
Philippines,CO2, 1.30 
Poland,CO2, 8.26 
Qatar,CO2, 31.30 
Romania,CO2, 3.89 
Russian Federation,CO2, 11.02 
Saudi Arabia,CO2, 14.78 
South Africa,CO2, 7.31 
Spain,CO2, 5.53 
Thailand,CO2, 3.69 
Turkey,CO2, 4.90 
Turkmenistan,CO2, 11.89 
Ukraine,CO2, 4.24 
United Arab Emirates,CO2, 20.25 
United Kingdom,CO2, 5.29 
United States,CO2, 15.05 
Uzbekistan,CO2, 3.35 
Venezuela,CO2, 4.86 
Vietnam,CO2, 2.65 
Algeria,N2O, 0.28 
Angola,N2O, 0.50 
Argentina,N2O, 1.06 
Australia,N2O, 3.01 
Bangladesh,N2O, 0.18 
Brazil,N2O, 0.84 
Cameroon,N2O, 2.36 
Canada,N2O, 1.14 
Central African Republic,N2O, 6.65 
Chad,N2O, 1.52 
China,N2O, 0.37 
Colombia,N2O, 0.43 
Congo,N2O, 2.86 
Egypt,N2O, 0.22 
Ethiopia,N2O, 0.45 
France,N2O, 0.58 
Germany,N2O, 0.39 
India,N2O, 0.18 
Indonesia,N2O, 0.35 
Iran,N2O, 0.45 
Italy,N2O, 0.30 
Japan,N2O, 0.14 
Kenya,N2O, 0.34 
Mali,N2O, 0.68 
Mexico,N2O, 0.33 
Mongolia,N2O, 4.02 
Myanmar,N2O, 0.39 
New Zealand,N2O, 3.12 
Niger,N2O, 0.51 
Nigeria,N2O, 0.18 
Pakistan,N2O, 0.28 
Philippines,N2O, 0.12 
Poland,N2O, 0.57 
Russian Federation,N2O, 0.40 
South Africa,N2O, 0.32 
South Sudan,N2O, 2.06 
Spain,N2O, 0.44 
Sudan,N2O, 0.68 
Tanzania,N2O, 0.51 
Thailand,N2O, 0.29 
Turkey,N2O, 0.41 
Uganda,N2O, 0.34 
Ukraine,N2O, 0.58 
United Kingdom,N2O, 0.42 
United States,N2O, 0.76 
Uzbekistan,N2O, 0.49 
Venezuela,N2O, 0.48 
Vietnam,N2O, 0.25 
Zambia,N2O, 0.79 